z,init_n_neg,final_n_neg,feasible,L1_dev,final_min_T,wall_s,dispatch
219,1406,0,1,1556.344,0.010088,13.49,
220,1135,0,1,1130.671,0.010090,13.75,
221,1083,0,1,1150.127,0.010090,13.52,
222,1274,0,1,1445.039,0.010071,15.40,
223,1131,0,1,1225.844,0.010091,13.87,
224,1279,0,1,1390.883,0.010090,14.51,
225,1202,0,1,1299.811,0.010017,13.82,
226,1087,0,1,1041.075,0.010090,13.40,
227,1366,0,1,2239.921,0.010090,15.20,
228,1389,0,1,2354.530,0.010090,14.29,
229,1403,0,1,2515.073,0.010090,15.17,
230,1372,0,1,2947.722,0.010090,17.29,
231,1347,0,1,1441.931,0.010090,13.65,
232,1520,0,1,1786.610,0.010091,14.59,
233,1424,0,1,1842.423,0.010090,14.59,
234,1460,0,1,2014.056,0.009997,14.45,
235,1228,0,1,1529.437,0.010090,14.47,
236,1253,0,1,1413.087,0.010090,14.66,
237,1375,0,1,1534.078,0.010090,16.20,
238,1479,0,1,2296.650,0.010090,14.92,
239,1422,0,1,1540.666,0.010080,15.73,
240,1565,0,1,2013.578,0.010079,14.55,
241,1622,0,1,1979.472,0.010090,14.24,
242,1674,0,1,2392.225,0.010090,15.29,
243,1726,0,1,2996.081,0.010090,16.16,
244,1672,0,1,2057.259,0.010090,17.02,
245,1607,0,1,1845.445,0.010090,16.40,
246,1548,0,1,1756.666,0.010090,20.91,
247,1617,0,1,1880.422,0.010090,18.67,
248,1711,0,1,1910.266,0.010080,18.97,
249,1606,0,1,1875.792,0.010090,18.92,
250,1594,0,1,1884.162,0.010090,48.85,
251,1452,0,1,1640.814,0.010090,23.61,
252,1614,0,1,1904.419,0.010090,19.34,
253,1397,0,1,1663.245,0.010090,22.03,
254,1474,0,1,1736.164,0.010056,27.46,
255,1458,0,1,1766.810,0.010090,29.42,
256,1247,0,1,1478.931,0.010075,18.95,
257,1281,0,1,1457.918,0.010086,19.25,
258,1385,0,1,1564.959,0.009996,20.70,
259,1461,0,1,1623.413,0.010045,20.36,
260,1455,0,1,1784.370,0.010081,27.31,
261,1461,0,1,1805.511,0.010089,24.03,
262,1497,0,1,1881.731,0.010090,29.29,
263,1647,0,1,2065.099,0.010089,30.13,
